證券代號,證券名稱,開盤價,收盤價,漲跌價差,成交筆數
2439,美律,"3,825,035","485,511,404",126.00,128.50
2440,太空梭,"17,850","122,276",6.83,7.00
2441,超豐,"1,205,175","46,301,650",39.20,39.95
2442,新美齊,"1,353,076","8,245,352",6.19,6.38
2443,億麗,"163,832","433,053",2.60,2.73
2444,兆勁,"1,867,768","27,369,157",15.25,15.25
2448,晶電,"26,363,728","724,882,981",28.30,28.45
2449,京元電子,"15,930,452","493,760,351",30.20,31.75
2450,神腦,"342,202","9,053,998",27.00,27.00
2451,創見,"1,442,627","98,179,903",68.10,68.70
2453,凌群,"360,999","4,397,788",12.35,12.35
2454,聯發科,"14,131,612","4,441,650,824",315.50,321.50
2455,全新,"3,222,612","227,169,115",73.10,73.50
2456,奇力新,"7,345,013","578,551,240",80.50,81.40
2457,飛宏,"947,849","5,345,625",5.66,5.80
2458,義隆,"6,128,765","461,463,154",75.50,76.40
2459,敦吉,"328,262","11,708,654",36.80,36.80
2460,建通,"120,000","861,470",7.17,7.48
2461,光群雷,"2,009,081","25,685,774",12.85,13.20
2462,良得電,"159,595","3,800,609",25.50,25.50
2464,盟立,"806,816","23,110,974",28.70,29.40
2465,麗臺,"115,516","704,814",6.05,6.20
2466,冠西電,"69,000","2,206,750",32.20,32.25
2467,志聖,"924,081","23,053,993",25.25,25.45
2468,華經,"156,000","1,935,100",12.45,12.55
2471,資通,"262,110","4,428,981",16.75,17.05
2472,立隆電,"395,450","10,660,981",27.65,27.70
2474,可成,"6,523,718","1,266,158,856",197.50,198.00
2476,鉅祥,"377,400","6,763,329",17.55,18.10
2477,美隆電,"345,673","6,054,108",17.75,17.80
2478,大毅,"10,591,923","568,754,900",55.60,56.10
2480,敦陽科,"1,770,118","94,072,895",54.00,54.40
2481,強茂,"5,235,953","82,985,270",16.35,16.55
2482,連宇,"181,111","1,827,965",10.10,10.20
2483,百容,"153,000","2,439,250",16.00,16.15
2484,希華,"1,203,033","18,714,170",15.85,16.10
2485,兆赫,"1,561,407","19,652,145",12.55,12.85
2486,一詮,"637,562","3,494,299",5.60,5.60
2488,漢平,"326,000","8,341,547",25.65,26.05
2489,瑞軒,"1,879,389","12,620,900",6.71,6.77
2491,吉祥全,"86,004","597,486",7.49,7.49
2492,華新科,"17,222,330","2,586,662,850",153.50,154.50
2493,揚博,"651,101","15,503,138",24.00,24.25
2495,普安,"551,700","5,965,800",10.90,10.90
2496,卓越,"24,000","1,278,700",53.50,54.50
2497,怡利電,"151,300","2,092,490",14.05,14.05
2498,宏達電,"10,899,571","303,059,543",27.55,28.95
2499,東貝,"3,742,346","24,490,535",6.70,6.80
2501,國建,"1,355,958","22,934,888",17.05,17.10
2504,國產,"18,810,871","196,581,083",10.50,10.85
2505,國揚,"1,912,244","25,153,422",13.25,13.50
2506,太設,"231,478","2,142,328",9.33,9.40
2509,全坤建,"141,260","2,761,106",18.95,19.90
2511,太子,"1,839,072","16,689,530",9.20,9.21
2514,龍邦,"3,395,125","40,847,479",12.30,12.35
2515,中工,"6,476,432","36,284,089",5.65,5.69
2516,新建,"1,543,331","6,317,978",4.12,4.20
2520,冠德,"2,441,488","48,529,753",20.40,20.50
2524,京城,"704,289","20,632,678",28.70,31.15
2527,宏璟,"346,000","5,854,200",17.30,17.35
2528,皇普,"397,643","6,820,766",17.60,17.65
2530,華建,"413,371","6,653,071",15.85,16.20
2534,宏盛,"2,428,691","36,984,533",15.50,15.70
2535,達欣工,"2,476,750","48,136,992",19.55,19.75
2536,宏普,"833,003","16,817,010",20.35,20.55
2537,聯上發,"2,246,012","14,529,273",6.50,6.70
2538,基泰,"1,062,491","9,385,224",8.89,8.94
2539,櫻花建,"453,494","13,548,193",29.30,30.40
2540,愛山林,"34,000","655,500",19.30,19.95
2542,興富發,"5,075,638","187,835,446",38.00,38.00
2543,皇昌,"37,005","252,381",6.86,6.92
2545,皇翔,"776,400","20,215,729",27.75,27.75
2546,根基,"192,301","6,578,771",34.45,35.45
2547,日勝生,"1,525,449","11,993,936",7.83,7.99
2548,華固,"3,870,056","324,412,776",86.50,86.50
2597,潤弘,"114,001","6,068,052",55.00,55.00
2601,益航,"2,503,976","18,936,874",7.52,7.70
2603,長榮,"22,510,059","216,855,169",9.46,9.98
2605,新興,"2,046,100","21,564,540",10.40,10.65
2606,裕民,"2,598,973","65,788,011",25.60,25.85
2607,榮運,"1,423,209","16,841,578",11.95,11.95
2608,嘉里大榮,"464,605","15,655,077",34.00,34.00
2609,陽明,"4,002,828","20,114,073",4.89,5.20
2610,華航,"37,949,187","232,961,710",6.50,6.53
2611,志信,"79,713","496,462",6.11,6.40
2612,中航,"358,341","7,385,384",20.75,21.00
2613,中櫃,"203,188","2,218,339",10.65,11.05
2614,東森,"3,073,586","32,019,389",10.50,10.70
2615,萬海,"4,432,155","58,871,363",13.60,13.65
2616,山隆,"382,966","10,442,421",27.20,27.80
2617,台航,"680,149","8,989,837",13.05,13.45
2618,長榮航,"53,769,826","470,938,611",9.40,9.40
2630,亞航,"118,000","1,359,350",11.65,12.00
2633,台灣高鐵,"14,398,503","401,925,284",27.50,28.40
2634,漢翔,"2,867,034","76,814,005",26.95,27.10
2636,台驊投控,"319,928","6,083,432",19.00,19.45
2637,慧洋-KY,"3,082,848","67,714,547",22.60,22.85
2642,宅配通,"653,150","15,991,550",24.15,25.00
2701,萬企,"211,297","2,308,576",11.10,11.10
2702,華園,"615,896","6,757,868",11.65,11.85
2704,國賓,"338,023","7,738,222",23.10,23.50
2705,六福,"398,838","3,836,384",9.74,9.74
2706,第一店,"315,894","3,918,623",12.70,12.70
2707,晶華,"906,212","102,645,456",120.00,120.00
2712,遠雄來,"32,000","977,450",30.15,32.50
2722,夏都,"524,000","10,993,000",19.80,21.00
2723,美食-KY,"1,648,483","106,482,568",65.10,66.60
2727,王品,"636,848","35,804,288",57.30,58.90
2731,雄獅,"595,041","30,966,037",55.20,55.20
2739,寒舍,"97,099","1,950,478",20.45,20.50
2748,雲品,"108,714","4,028,407",37.15,37.45
2801,彰銀,"19,575,145","377,671,428",19.30,19.55
2809,京城銀,"8,522,632","245,587,381",29.20,29.45
2812,台中銀,"17,258,291","175,784,353",10.30,10.35
2816,旺旺保,"314,532","5,368,633",17.20,17.50
2820,華票,"1,904,731","26,458,526",13.85,13.95
2823,中壽,"33,638,654","538,043,748",16.10,16.30
2832,台產,"684,680","12,353,370",18.30,18.30
2834,臺企銀,"47,298,175","453,944,596",9.74,9.75
2836,高雄銀,"1,357,824","11,777,786",8.73,8.73
2838,聯邦銀,"2,701,544","26,021,961",9.68,9.78
2838A,聯邦銀甲特,"312,250","16,160,974",51.60,52.10
2841,台開,"7,617,709","40,706,147",5.42,5.54
2845,遠東銀,"8,035,305","77,564,597",9.90,9.90
2849,安泰銀,"416,316","5,256,516",12.65,12.80
2850,新產,"509,300","16,360,050",32.30,32.85
2851,中再保,"508,786","8,428,396",16.65,16.75
2852,第一保,"254,243","2,910,354",11.55,11.65
2855,統一證,"1,611,274","18,104,098",11.25,11.40
2867,三商壽,"6,961,102","60,254,908",8.85,8.87
2880,華南金,"41,933,266","734,063,048",17.85,17.85
2881,富邦金,"30,545,208","1,130,248,607",37.40,37.55
2881A,富邦特,"686,045","42,966,044",62.50,62.90
2881B,富邦金乙特,"589,577","36,749,637",61.50,62.60
2882,國泰金,"36,276,918","1,263,780,681",35.05,35.15
2882A,國泰特,"993,727","61,277,385",61.60,61.90
2882B,國泰金乙特,"623,812","38,646,013",61.40,62.10
2883,開發金,"59,718,807","451,452,491",7.61,7.65
2884,玉山金,"162,751,115","3,693,666,592",22.80,23.25
2885,元大金,"39,140,446","606,092,853",15.40,15.80
2886,兆豐金,"47,149,691","1,320,506,700",27.60,28.45
2887,台新金,"65,105,656","756,835,985",11.95,12.00
2887E,台新戊特,"239,623","12,669,307",52.80,53.30
2887F,台新戊特二,"313,874","16,321,374",51.00,52.50
2888,新光金,"83,729,521","636,558,316",7.79,7.80
2888A,新光金甲特,"440,131","19,277,694",43.50,44.35
2889,國票金,"7,581,168","72,009,703",9.62,9.62
2890,永豐金,"40,651,026","412,566,194",10.20,10.30
2891,中信金,"90,387,788","1,632,454,892",18.25,18.30
2891B,中信金乙特,"237,271","15,451,936",64.50,65.50
2891C,中信金丙特,"360,948","22,219,614",61.00,62.10
2892,第一金,"66,975,750","1,281,324,911",19.40,19.45
2897,王道銀行,"2,725,285","16,171,058",6.17,6.17
2897A,王道銀甲特,"223,500","2,189,165",9.80,9.86
2901,欣欣,"36,000","815,750",23.00,23.00
2903,遠百,"2,835,704","59,795,418",21.10,21.20
2904,匯僑,"123,412","2,283,557",18.55,18.55
2905,三商,"1,657,660","26,045,592",16.00,16.05
2906,高林,"135,221","1,327,905",9.90,9.99
2908,特力,"435,691","8,060,613",18.80,19.10
2910,統領,"27,000","817,300",28.60,31.45
2911,麗嬰房,"321,240","1,893,830",5.92,6.08
2912,統一超,"3,064,088","874,885,411",285.00,290.00
2913,農林,"2,029,213","25,396,736",12.55,12.70
2915,潤泰全,"4,375,726","284,619,982",63.30,66.30
2923,鼎固-KY,"174,000","3,691,450",20.50,22.45
2929,淘帝-KY,"1,154,530","62,036,424",56.10,56.70
2936,客思達-KY,"43,000","557,150",13.05,13.30
2939,凱羿-KY,"132,150","11,982,674",88.90,93.50
3002,歐格,"338,148","2,869,888",8.42,8.70
3003,健和興,"490,225","15,418,330",32.65,32.65
3004,豐達科,"431,100","21,507,850",50.70,51.70
3005,神基,"3,060,184","132,539,934",43.55,44.75
3006,晶豪科,"2,246,928","61,721,219",28.00,28.50
3008,大立光,"1,188,034","4,403,957,570","3,760.00","3,815.00"
3010,華立,"413,551","19,165,976",46.40,47.30
3011,今皓,"140,099","583,756",4.07,4.23
3013,晟銘電,"346,657","3,870,958",11.15,11.35
3014,聯陽,"3,532,299","135,466,461",39.40,39.60
3015,全漢,"299,225","4,873,156",16.50,16.50
3016,嘉晶,"23,454,318","1,240,136,173",53.00,54.70
3017,奇鋐,"12,997,586","364,781,555",28.00,29.20
3018,同開,"482,655","7,718,437",16.15,16.50
3019,亞光,"3,515,047","211,560,444",61.30,62.20
3021,鴻名,"163,135","1,967,629",12.15,12.45
3022,威強電,"1,294,695","39,321,259",30.15,31.85
3023,信邦,"2,928,949","299,880,256",102.00,104.50
3024,憶聲,"304,319","1,928,633",6.77,6.80
3025,星通,"215,006","3,062,084",14.35,14.45
3026,禾伸堂,"3,821,189","331,774,565",89.10,89.70
3027,盛達,"146,000","841,690",5.80,5.81
3028,增你強,"733,535","12,593,809",17.35,17.50
3029,零壹,"2,564,300","74,055,676",28.80,29.35
3030,德律,"1,031,557","44,469,851",43.85,43.85
3031,佰鴻,"1,452,563","14,902,114",10.20,10.35
3032,偉訓,"281,358","5,797,550",20.20,20.85
3033,威健,"1,723,618","21,614,724",12.75,12.90
3034,聯詠,"5,443,470","930,502,702",171.00,173.50
3035,智原,"3,697,899","122,601,160",33.95,34.00
3036,文曄,"1,443,269","50,597,020",35.05,35.35
3037,欣興,"40,064,336","1,089,605,990",27.40,28.00
3038,全台,"1,227,998","16,264,474",13.50,13.60
3040,遠見,"107,000","2,696,450",25.50,25.55
3041,揚智,"3,288,450","43,618,950",13.50,13.65
3042,晶技,"11,675,907","482,210,812",43.10,43.65
3043,科風,"277,475","380,458",1.35,1.42
3044,健鼎,"2,729,650","240,043,637",86.90,90.90
3045,台灣大,"11,731,057","1,185,341,257",102.50,102.50
3046,建碁,"19,098","144,811",7.80,7.80
3047,訊舟,"1,580,010","9,790,980",6.23,6.38
3048,益登,"2,766,734","38,419,082",14.05,14.30
3049,和鑫,"15,529,677","141,640,538",8.92,9.35
3050,鈺德,"2,109,005","17,245,280",8.32,8.35
3051,力特,"189,912","583,591",3.00,3.19
3052,夆典,"1,525,009","13,765,663",8.91,9.22
3054,立萬利,"49,567","1,118,155",22.90,22.90
3055,蔚華科,"121,214","3,047,754",25.55,25.60
3056,總太,"2,619,643","60,688,635",24.05,24.10
3057,喬鼎,"327,086","1,435,103",4.40,4.64
3058,立德,"328,000","1,715,490",5.40,5.40
3059,華晶科,"1,290,277","21,520,370",16.85,17.15
3060,銘異,"1,635,733","18,513,213",11.35,11.70
3062,建漢,"1,651,892","18,854,460",11.30,11.60
3090,日電貿,"2,200,720","82,162,897",37.70,38.15
3094,聯傑,"423,030","6,656,616",15.70,16.20
3130,一零四,"62,050","8,432,250",140.50,141.00
3149,正達,"1,026,581","5,168,049",5.45,5.46
3164,景岳,"223,184","4,464,330",20.00,20.55
3167,大量,"200,001","6,827,884",34.25,34.40
3189,景碩,"5,613,719","197,730,077",36.00,36.15
3209,全科,"741,471","12,590,407",17.05,17.15
3229,晟鈦,"47,585","440,469",9.32,9.65
3231,緯創,"24,039,639","492,305,028",20.65,20.90
3257,虹冠電,"170,507","7,980,346",47.40,47.50
3266,昇陽,"114,000","1,388,650",11.80,12.35
3296,勝德,"105,500","1,250,374",12.05,12.20
3305,昇貿,"157,127","2,945,313",18.70,18.95
3308,聯德,"15,019","65,259",4.30,4.64
3311,閎暉,"195,464","3,949,834",20.85,20.90
3312,弘憶股,"602,280","6,784,793",11.60,11.65
3321,同泰,"336,956","2,419,573",7.09,7.45
3338,泰碩,"18,276,856","1,475,515,249",82.00,83.50
3346,麗清,"250,087","4,375,405",18.05,18.10
3356,奇偶,"777,259","14,504,598",19.25,19.30
3376,新日興,"3,069,376","316,402,200",106.00,108.00
3380,明泰,"3,804,135","60,296,897",16.15,16.25
3383,新世紀,"78,775","314,256",4.20,4.31
3406,玉晶光,"15,301,409","5,279,206,154",356.00,358.50
3413,京鼎,"2,342,922","246,039,810",107.50,107.50
3416,融程電,"91,100","4,559,560",50.90,50.90
3419,譁裕,"825,133","8,212,718",9.81,10.15
3432,台端,"81,000","735,250",9.00,9.18
3437,榮創,"991,200","11,050,400",11.30,11.35
3443,創意,"1,796,517","332,018,260",187.00,192.00
3450,聯鈞,"7,145,340","430,987,783",62.00,62.40
3454,晶睿,"278,546","18,443,495",66.00,67.30
3481,群創,"127,010,436","732,635,520",5.86,5.91
3494,誠研,"232,000","744,580",3.21,3.32
3501,維熹,"203,234","8,003,545",39.10,39.75
3504,揚明光,"1,530,697","69,317,510",46.00,47.00
3515,華擎,"5,248,650","475,181,850",91.10,94.00
3518,柏騰,"735,008","14,241,744",20.90,20.90
3528,安馳,"99,198","3,450,980",35.10,35.75
3530,晶相光,"2,481,407","181,972,997",76.00,77.10
3532,台勝科,"6,013,181","861,864,573",142.00,150.00
3533,嘉澤,"1,956,728","469,880,860",237.50,245.00
3535,晶彩科,"1,335,013","14,934,732",11.35,11.90
3536,誠創,"44,010","141,272",3.21,3.21
3545,敦泰,"7,698,113","210,502,906",27.20,28.30
3550,聯穎,"412,079","4,137,107",10.00,10.10
3557,嘉威,"529,297","20,651,866",39.00,39.90
3563,牧德,"3,219,787","754,465,436",252.50,255.00
3576,聯合再生,"8,684,710","42,206,064",4.80,4.95
3583,辛耘,"492,613","19,093,799",38.80,39.70
3588,通嘉,"374,008","7,817,518",20.00,21.80
3591,艾笛森,"150,206","1,254,438",8.32,8.47
3593,力銘,"107,459","866,831",8.29,8.29
3596,智易,"5,488,495","338,077,926",61.20,62.80
3605,宏致,"800,995","14,809,957",18.85,19.15
3607,谷崧,"280,012","2,501,908",9.05,9.16
3617,碩天,"341,524","26,042,781",76.50,77.10
3622,洋華,"392,054","6,318,918",15.95,16.50
3645,達邁,"817,900","22,412,550",27.70,28.10
3653,健策,"8,006,371","1,180,599,182",146.00,152.50
3661,世芯-KY,"8,802,897","1,527,655,005",177.00,179.00
3665,貿聯-KY,"3,372,593","511,393,450",152.00,156.00
3669,圓展,"4,503,262","111,367,042",26.50,27.10
3673,TPK-KY,"4,637,059","168,537,180",36.75,37.30
3679,新至陞,"144,202","6,656,491",46.60,47.10
3682,亞太電,"4,205,060","23,861,320",5.71,5.75
3686,達能,"344,539","1,102,477",3.29,3.29
3694,海華,"303,000","3,627,600",11.90,12.30
3698,隆達,"1,496,508","16,657,384",11.25,11.40
3701,大眾控,"14,998","189,570",12.75,12.75
3702,大聯大,"6,909,498","242,043,409",35.05,35.30
3702A,大聯大甲特,"738,250","35,574,775",48.20,48.30
3703,欣陸,"747,046","7,480,530",9.91,10.25
3704,合勤控,"3,740,000","42,608,350",11.10,11.65
3705,永信,"640,089","25,351,553",40.00,40.00
3706,神達,"15,905,926","424,343,079",27.00,27.35
3708,上緯投控,"850,224","49,395,703",59.80,59.80
3711,日月光投控,"16,818,524","952,401,002",57.40,57.60
3712,永崴投控,"832,694","8,901,544",11.00,11.30
4104,佳醫,"298,311","14,827,169",49.80,50.10
4106,雃博,"619,100","11,939,987",19.85,20.35
4108,懷特,"381,119","4,647,253",12.50,13.00
4119,旭富,"3,485,010","337,032,025",100.50,101.00
4133,亞諾法,"4,068,658","137,496,626",32.90,35.30
4137,麗豐-KY,"669,300","109,619,800",168.00,169.00
4141,龍燈-KY,"235,209","2,814,116",12.00,12.15
4142,國光生,"23,860,954","702,499,197",29.85,30.30
4144,康聯-KY,"741,578","15,009,899",20.20,20.60
4148,全宇生技-KY,"115,019","2,378,218",21.20,21.50
4155,訊映,"667,752","17,027,037",25.80,26.15
4164,承業醫,"1,609,000","47,761,550",28.50,31.25
4190,佐登-KY,"336,000","22,529,600",67.40,68.80
4306,炎洲,"1,330,791","13,070,951",9.60,9.96
4414,如興,"3,413,334","28,266,598",8.48,8.50
4426,利勤,"920,450","24,156,925",26.60,26.95
4438,廣越,"156,071","17,945,552",117.50,117.50
4439,冠星-KY,"32,000","3,730,500",120.00,120.00
4526,東台,"482,080","5,566,023",11.60,11.75
4532,瑞智,"994,205","15,515,675",15.85,15.95
4536,拓凱,"333,064","32,677,764",101.50,101.50
4540,全球傳動,"377,080","14,751,559",38.80,40.10
4545,銘鈺,"205,740","4,534,778",21.15,22.70
4551,智伸科,"920,100","94,530,968",106.00,108.00
4552,力達-KY,"357,671","9,029,275",24.70,26.00
4555,氣立,"40,000","1,665,750",41.55,42.75
4557,永新-KY,"109,621","6,748,881",61.90,61.90
4560,強信-KY,"144,000","6,030,550",42.55,42.75
4562,穎漢,"39,100","684,985",17.30,18.00
4564,元翎,"673,971","18,101,765",26.70,27.40
4566,時碩工業,"358,000","11,866,200",32.75,33.70
4571,鈞興-KY,"68,155","2,949,472",45.05,46.30
4572,駐龍,"87,300","6,867,808",77.70,80.20
4576,大銀微系統,"393,740","21,087,580",55.20,55.60
4581,光隆精密-KY,"117,000","3,851,850",32.50,33.20
4720,德淵,"328,785","3,720,119",11.50,11.60
4722,國精化,"695,933","18,165,642",25.10,27.80
4725,信昌化,"948,240","6,870,053",7.50,7.52
4737,華廣,"428,000","26,016,200",65.00,65.30
4739,康普,"830,574","31,392,562",38.60,39.25
4746,台耀,"8,789,267","369,660,835",45.75,46.00
4755,三福化,"48,099","1,995,028",42.50,42.50
4763,材料-KY,"596,111","57,175,278",95.10,98.30
4764,雙鍵,"146,100","7,724,250",51.50,54.50
4766,南寶,"300,367","35,579,306",117.00,120.50
4807,日成-KY,"232,000","4,874,750",21.30,22.15
4904,遠傳,"7,424,367","463,903,721",61.50,63.50
4906,正文,"2,984,108","50,634,291",17.10,17.50
4912,聯德控股-KY,"153,093","9,828,159",61.00,66.40
4915,致伸,"3,936,469","153,322,656",40.15,40.30
4916,事欣科,"549,015","12,754,111",23.10,23.60
4919,新唐,"1,250,085","38,329,963",30.25,31.30
4927,泰鼎-KY,"14,505,450","746,637,798",50.90,52.70
4930,燦星網,"192,400","1,403,833",7.19,7.40
4934,太極,"2,867,061","32,202,099",11.60,11.90
4935,茂林-KY,"6,296,843","534,211,891",85.00,88.00
4938,和碩,"8,971,566","455,337,007",51.00,51.70
4942,嘉彰,"745,260","20,764,964",27.80,28.35
4943,康控-KY,"3,680,139","336,295,447",91.90,93.50
4952,凌通,"412,708","10,820,491",26.90,26.90
4956,光鋐,"337,707","2,795,987",8.28,8.39
4958,臻鼎-KY,"11,451,605","944,291,602",80.80,85.40
4960,誠美材,"898,155","3,734,078",4.10,4.47
4961,天鈺,"1,159,901","25,840,080",22.40,23.00
4967,十銓,"8,460,840","258,549,946",33.10,33.25
4968,立積,"5,348,089","590,398,667",114.50,116.00
4976,佳凌,"1,233,084","17,250,274",14.10,14.60
4977,眾達-KY,"2,662,256","227,045,000",90.00,90.50
4989,榮科,"431,000","5,852,900",14.05,14.05
4994,傳奇,"223,560","10,188,695",48.40,48.40
4999,鑫禾,"112,000","3,451,000",31.55,31.70
5007,三星,"312,119","13,933,724",44.95,46.00
5203,訊連,"1,510,060","139,713,807",95.40,97.20
5215,科嘉-KY,"1,342,600","68,214,119",49.50,52.20
5225,東科-KY,"495,000","10,726,950",22.05,22.30
5234,達興材料,"637,307","44,774,189",72.10,72.40
5243,乙盛-KY,"999,021","25,524,043",26.00,26.15
5258,虹堡,"292,100","4,932,630",17.20,17.40
5264,鎧勝-KY,"4,509,150","159,199,060",34.00,36.50
5269,祥碩,"1,914,258","1,329,558,020",692.00,727.00
5283,禾聯碩,"263,370","24,073,399",92.20,92.80
5284,jpp-KY,"68,208","2,284,726",35.20,35.20
5285,界霖,"346,011","13,055,501",36.80,39.00
5288,豐祥-KY,"136,186","12,699,498",94.00,94.00
5305,敦南,"598,802","23,432,875",38.85,39.60
5388,中磊,"2,028,550","123,299,200",61.40,61.60
5434,崇越,"1,361,275","117,768,075",88.00,88.60
5469,瀚宇博,"6,222,492","192,752,850",31.50,31.50
5471,松翰,"6,854,630","241,494,431",35.50,36.20
5484,慧友,"254,477","1,887,281",7.47,7.47
5515,建國,"937,542","7,392,529",8.09,8.26
5519,隆大,"990,603","11,223,451",11.50,11.60
5521,工信,"2,497,213","15,751,652",6.60,6.64
5522,遠雄,"1,648,604","53,333,377",32.60,32.80
5525,順天,"141,400","2,413,739",17.20,17.50
5531,鄉林,"1,261,084","9,515,842",7.83,7.83
5533,皇鼎,"146,292","2,085,081",14.25,14.50
5534,長虹,"908,301","63,242,739",70.10,70.90
5538,東明-KY,"12,000","317,950",24.80,27.80
5607,遠雄港,"1,485,031","26,705,114",18.15,18.35
5608,四維航,"807,890","4,125,820",5.20,5.20
5706,鳳凰,"431,927","10,163,483",25.65,25.65
5871,中租-KY,"11,706,164","1,020,155,493",87.90,89.00
5876,上海商銀,"11,271,026","429,547,467",38.20,39.10
5880,合庫金,"47,781,712","821,741,554",17.35,17.40
5906,台南-KY,"18,000","301,000",16.60,17.05
5907,大洋-KY,"382,500","6,438,300",16.90,17.45
6005,群益證,"3,648,468","30,375,571",8.39,8.43
6024,群益期,"573,227","19,902,573",35.10,35.45
6108,競國,"791,006","14,435,664",19.10,19.10
6112,聚碩,"1,160,352","37,087,239",32.20,32.45
6115,鎰勝,"326,000","12,578,300",38.80,38.80
6116,彩晶,"18,451,286","98,578,238",5.39,5.45
6117,迎廣,"15,000","179,950",12.40,12.40
6120,達運,"2,507,458","22,630,570",9.24,9.36
6128,上福,"92,216","2,307,120",25.20,25.25
6131,鈞泰,"32,244","105,642",3.49,3.49
6133,金橋,"83,013","552,506",6.70,6.70
6136,富爾特,"307,187","4,936,819",16.05,16.20
6139,亞翔,"762,002","16,303,446",21.60,21.80
6141,柏承,"1,040,057","14,741,798",14.35,14.45
6142,友勁,"309,861","1,353,370",4.19,4.50
6152,百一,"128,210","569,614",4.62,4.62
6153,嘉聯益,"8,097,829","181,019,904",22.60,23.10
6155,鈞寶,"366,050","6,454,745",17.90,17.95
6164,華興,"280,000","1,386,940",4.82,5.10
6165,捷泰,"533,199","8,837,079",17.00,17.70
6166,凌華,"1,062,639","57,606,710",52.30,56.50
6168,宏齊,"620,098","6,268,967",10.20,10.30
6172,互億,"37,000","700,300",18.90,19.20
6176,瑞儀,"4,755,555","383,347,819",82.50,83.80
6177,達麗,"661,088","15,514,893",23.85,23.95
6183,關貿,"501,458","18,654,382",37.70,38.10
6184,大豐電,"187,700","7,231,069",38.50,38.70
6189,豐藝,"1,769,525","50,857,402",29.40,29.40
6191,精成科,"2,346,400","26,689,789",11.40,11.70
6192,巨路,"290,768","16,331,498",55.50,57.00
6196,帆宣,"1,510,527","81,314,033",54.50,55.00
6197,佳必琪,"1,051,966","23,420,862",23.20,23.40
6201,亞弘電,"183,000","5,742,850",31.60,32.10
6202,盛群,"2,057,500","127,498,900",63.10,63.20
6205,詮欣,"45,040","882,987",19.60,19.85
6206,飛捷,"426,143","24,964,936",59.10,59.70
6209,今國光,"803,269","12,701,235",16.00,16.25
6213,聯茂,"13,578,297","1,602,083,843",115.00,121.00
6214,精誠,"1,127,229","81,865,710",73.20,73.80
6215,和椿,"277,193","2,865,320",10.30,10.45
6216,居易,"195,050","4,521,310",23.20,23.75
6224,聚鼎,"309,597","15,888,902",52.00,52.30
6225,天瀚,"49,745","98,375",1.98,1.98
6226,光鼎,"914,027","5,744,202",6.37,6.37
6230,超眾,"3,699,713","677,057,257",176.00,189.00
6235,華孚,"469,561","3,757,188",7.96,8.34
6239,力成,"7,785,459","608,329,484",81.80,81.90
6243,迅杰,"178,009","1,104,484",6.32,6.32
6251,定穎,"4,660,514","62,827,131",13.70,13.95
6257,矽格,"5,780,590","179,486,997",31.40,31.80
6269,台郡,"6,239,041","562,066,939",91.80,91.90
6271,同欣電,"3,707,478","376,502,566",104.50,105.00
6277,宏正,"313,000","24,408,100",79.00,79.50
6278,台表科,"7,381,320","475,054,440",66.90,67.40
6281,全國電,"242,350","14,995,728",62.50,62.50
6282,康舒,"2,436,920","42,443,846",17.60,17.80
6283,淳安,"587,950","8,054,629",13.65,14.30
6285,啟碁,"3,088,068","158,439,334",52.50,53.20
6288,聯嘉,"1,727,515","27,682,411",16.05,16.40
6289,華上,"64,977","101,392",1.66,1.66
6405,悅城,"88,000","970,450",11.30,11.30
6409,旭隼,"357,071","218,395,526",605.00,625.00
6412,群電,"1,478,185","69,114,631",47.45,47.70
6414,樺漢,"2,101,533","312,628,318",154.50,158.00
6415,矽力-KY,"1,669,948","1,280,011,872",803.00,804.00
6416,瑞祺電通,"7,605,468","893,830,852",117.50,121.00
6431,光麗-KY,"95,000","1,987,150",20.50,21.05
6442,光聖,"113,712","4,089,854",36.25,36.50
6443,元晶,"1,448,863","6,924,162",4.74,4.85
6449,鈺邦,"204,035","4,609,071",23.00,23.10
6451,訊芯-KY,"2,030,400","163,803,500",81.70,82.70
6452,康友-KY,"1,606,773","237,524,812",149.50,152.50
6456,GIS-KY,"3,068,246","222,610,794",74.30,74.90
6464,台數科,"19,585","2,139,435",109.00,111.00
6477,安集,"329,000","5,666,100",17.50,17.50
6491,晶碩,"171,600","17,151,900",96.40,104.00
6504,南六,"1,462,320","206,382,800",143.00,145.00
6505,台塑化,"7,848,301","537,013,960",68.90,69.00
6525,捷敏-KY,"335,409","15,525,514",46.10,47.30
6531,愛普,"5,102,351","430,305,737",86.20,88.20
6533,晶心科,"610,681","47,112,394",79.30,79.70
6541,泰福-KY,"1,102,216","30,938,469",29.40,30.25
6552,易華電,"2,206,201","101,139,775",45.35,47.65
6558,興能高,"3,729,614","115,181,847",32.10,32.80
6573,虹揚-KY,"60,000","933,400",16.40,16.40
6579,研揚,"115,041","6,936,692",60.80,60.90
6581,鋼聯,"142,268","7,501,701",54.90,55.00
6582,申豐,"466,301","33,511,477",75.00,75.00
6591,動力-KY,"375,000","12,135,750",32.85,33.10
6592,和潤企業,"2,063,539","128,593,018",62.00,63.20
6605,帝寶,"307,436","12,949,329",43.20,43.50
6625,必應,"60,614","1,605,816",24.75,28.20
6641,基士德-KY,"67,500","3,449,050",51.00,51.90
6655,科定,"182,969","6,515,946",34.80,36.00
6666,羅麗芬-KY,"156,120","15,063,900",94.30,98.50
