sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,windspeed,winddirec,datacreationdate,unit,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
三義,苗栗縣,115,細懸浮微粒,對敏感族群不健康,0.7,0.37,37.2,41.5,64,39,6.3,7.5,1.2,0.4,229,"2024-11-14 20:00",,0.3,40.9,71,0,120.75956754,24.38248443,27
苗栗,苗栗縣,117,細懸浮微粒,對敏感族群不健康,1.4,0.52,33.1,48.8,88,53,13.8,15,1.2,0.4,333,"2024-11-14 20:00",,0.3,41.8,67,1,120.82011468,24.56499183,26
頭份,苗栗縣,99,細懸浮微粒,普通,2.3,0.32,32.2,50.8,52,29,17.5,18.8,1.2,1.5,292,"2024-11-14 20:00",,0.3,35.1,60,1,120.89869286,24.69690679,25
新竹,新竹市,112,細懸浮微粒,對敏感族群不健康,1.5,0.56,35.2,52.8,61,41,21.4,21.8,0.3,1.2,306,"2024-11-14 20:00",,0.5,39.6,57,1,120.97236752,24.8056356,24
竹東,新竹縣,109,細懸浮微粒,對敏感族群不健康,0.5,0.46,33.5,52.6,64,46,13.6,14.8,1.1,1.2,264,"2024-11-14 20:00",,0.4,38.7,58,1,121.08895493,24.74091408,23
湖口,新竹縣,126,細懸浮微粒,對敏感族群不健康,0.6,0.35,41.9,56.8,58,48,9.1,9.4,0.3,0.4,304,"2024-11-14 20:00",,0.3,45.1,56,0,121.03886894,24.90009696,22
龍潭,桃園市,150,細懸浮微粒,對敏感族群不健康,1.9,0.87,13.4,49.0,109,74,39.5,41.9,2.4,0.9,306,"2024-11-14 20:00",,0.5,54.3,77,1,121.21645772,24.86400048,21
平鎮,桃園市,147,細懸浮微粒,對敏感族群不健康,1,0.74,23.8,50.0,111,75,31.9,33.3,1.4,1,287,"2024-11-14 20:00",,0.5,53.3,83,1,121.203986,24.952786,20
觀音,桃園市,112,細懸浮微粒,對敏感族群不健康,0.4,0.21,46.6,52.0,66,47,11.1,11.6,0.5,0.3,265,"2024-11-14 20:00",,0.2,39.9,64,1,121.08283092,25.03556747,19
大園,桃園市,99,細懸浮微粒,普通,4.2,0.46,29.5,44.7,59,36,26.6,27.8,1.2,2,288,"2024-11-14 20:00",,0.4,35.1,60,2,121.20251473,25.06100357,18
桃園,桃園市,102,細懸浮微粒,對敏感族群不健康,2.8,0.67,0.4,39.5,24,11,22.9,33.2,10.3,0.8,234,"2024-11-14 20:00",,0.5,36,61,2,121.30500531,24.9947107,17
大同,臺北市,31,,良好,,,2.3,,8,9,,,,-,-,"2024-11-14 20:00",,1.3,9.7,11,0,121.51342074,25.06331455,16
松山,臺北市,13,,良好,0.6,0.2,7.2,8.8,7,2,8,17.4,9.4,1.5,22,"2024-11-14 20:00",,0.1,2.6,10,0,121.578611,25.05,15
古亭,臺北市,10,,良好,0,0.11,12.6,11.7,3,3,2.2,3.5,1.2,3.6,122,"2024-11-14 20:00",,0.1,1.8,6,,121.529556,25.020608,14
萬華,臺北市,17,,良好,1.6,0.26,4,5.4,7,1,10.4,18.8,8.3,2.9,84,"2024-11-14 20:00",,0.2,1.1,10,1,121.507972,25.046503,13
中山,臺北市,17,,良好,,,,6.9,,,,,,2.7,80,"2024-11-14 20:00",,0.3,5.2,11,0,121.526528,25.062361,12
士林,臺北市,10,,良好,0.2,0.16,9.8,10.6,5,0,6.6,7.7,1,4.3,144,"2024-11-14 20:00",,0.1,2.9,10,0,121.51666356,25.10334003,11
淡水,新北市,24,,良好,1,0.09,12.9,24.0,11,0,3,3.7,0.7,6.4,150,"2024-11-14 20:00",,0.1,7.3,21,1,121.449239,25.1645,10
林口,新北市,12,,良好,0,0.17,8.5,7.7,6,2,7.2,9.3,2.1,3.8,90,"2024-11-14 20:00",,0.2,2.7,10,0,121.36548982,25.07798949,9
菜寮,新北市,18,,良好,0.6,0.29,7.4,9.3,5,4,9.8,13.6,3.7,3.1,106,"2024-11-14 20:00",,0.2,5.4,8,0,121.481028,25.06895,8
新莊,新北市,24,,良好,0.6,0.19,9.2,9.2,15,9,5.9,7.5,1.6,4.4,91,"2024-11-14 20:00",,0.2,7.4,19,0,121.4325,25.037972,7
板橋,新北市,20,,良好,0.4,0.39,4.5,7.7,5,4,12.2,20,7.8,1.8,7,"2024-11-14 20:00",,0.3,4.3,10,0,121.458667,25.012972,6
土城,新北市,18,,良好,0.3,0.15,11.8,11.0,10,2,5.5,6.8,1.3,2.6,119,"2024-11-14 20:00",,0.2,5.6,13,0,121.451861,24.982528,5
新店,新北市,25,,良好,0.7,0.13,10.7,12.2,7,6,3,4.3,1.3,5.7,149,"2024-11-14 20:00",,0.1,7.7,8,0,121.537778,24.977222,4
萬里,新北市,11,,良好,0.2,0.12,11.3,12.1,6,1,4.2,6,1.7,2.1,230,"2024-11-14 20:00",,0.1,3.4,9,0,121.689881,25.179667,3
汐止,新北市,17,,良好,0.3,0.2,7.4,8.0,4,3,8.5,11.8,3.3,0.9,31,"2024-11-14 20:00",,0.1,5.1,7,0,121.64081,25.06624,2
基隆,基隆市,11,,良好,0.6,0.11,10.8,12.6,4,1,2.5,3.9,1.4,1.4,68,"2024-11-14 20:00",,0.1,1.7,7,0,121.760056,25.129167,1
屏東(枋山),屏東縣,43,,良好,0.4,0.14,47,46.5,51,12,3.7,3.7,0,1.9,40,"2024-11-14 20:00",,0.1,12.9,36,0,120.651472,22.260899,313
宜蘭（頭城）,宜蘭縣,15,,良好,0,0.05,11.7,16.9,9,0,2.6,3,0.4,0.4,146,"2024-11-14 20:00",,0,3.1,15,0,121.82463916,24.85366672,312
新北(樹林),新北市,83,細懸浮微粒,普通,1.4,0.8,3.5,14.1,57,39,33.1,49.5,16.4,0,285,"2024-11-14 20:00",,0.4,28.3,48,0,121.38352778,24.94902778,311
屏東（琉球）,屏東縣,62,細懸浮微粒,普通,0.5,0.18,38,52.9,26,18,5.6,6.3,0.6,0.6,344,"2024-11-14 20:00",,0.1,20.1,35,0,120.37722,22.35222,204
臺南（麻豆）,臺南市,62,細懸浮微粒,普通,0.4,0.21,31.4,41.2,59,29,12.3,13.1,0.7,1.5,8,"2024-11-14 20:00",,0.1,20,46,0,120.24583056,23.17904722,203
高雄（湖內）,高雄市,61,細懸浮微粒,普通,1.1,0.54,22.2,38.4,52,35,16.4,17,0.6,0.3,328,"2024-11-14 20:00",,0.2,19.4,41,1,120.24535,22.87985556,202
彰化（員林）,彰化縣,120,細懸浮微粒,對敏感族群不健康,2.9,0.77,13.6,40.6,70,34,24.1,27.8,3.6,0.5,335,"2024-11-14 20:00",,0.5,43,71,1,120.56373,23.96117,201
大城,彰化縣,53,細懸浮微粒,普通,0.6,0.14,33,39.8,31,15,5.8,6.9,1.1,2.4,41,"2024-11-14 20:00",,0.1,16.3,33,0,120.26964167,23.85493056,85
富貴角,新北市,37,,良好,1,0.06,13.8,35.6,14,8,4.2,4.1,0,3.6,48,"2024-11-14 20:00",,0.1,11.4,24,0,121.53656894,25.29681695,84
麥寮,雲林縣,64,細懸浮微粒,普通,1.2,0.17,34.6,40.4,42,13,5.4,6.8,1.3,2.8,3,"2024-11-14 20:00",,0.1,20.7,41,1,120.251825,23.753506,83
關山,臺東縣,23,,良好,1.3,0.16,2.3,5.5,26,4,7,10.9,3.9,1.1,350,"2024-11-14 20:00",,0.1,4,23,1,121.161933,23.045083,80
馬公,澎湖縣,43,,良好,1.4,0.19,36.3,46.8,23,10,3.8,4.2,0.4,3.6,29,"2024-11-14 20:00",,0.2,9.4,26,1,119.566158,23.569031,78
金門,金門縣,44,,良好,1.6,0.29,22.5,46.7,25,12,10.9,11.5,0.6,0.9,98,"2024-11-14 20:00",,0.2,13.6,28,1,118.312256,24.432133,77
馬祖,連江縣,35,,良好,0.9,0.33,20.9,28.8,21,12,8.4,9,0.6,2.6,349,"2024-11-14 20:00",,0.2,10.8,17,0,119.952724,26.153736,75
埔里,南投縣,56,細懸浮微粒,普通,1.4,0.48,1.2,18.9,34,19,18.6,26.9,8.3,0.3,141,"2024-11-14 20:00",,0.3,17.7,25,1,120.967903,23.968842,72
復興,高雄市,69,細懸浮微粒,普通,0.5,0.74,22.6,39.4,41,20,25.7,29.5,3.8,0.7,104,"2024-11-14 20:00",,0.4,22.9,43,0,120.312017,22.608711,71
永和,新北市,15,,良好,,0.17,11.4,10.5,5,3,3.9,5.9,1.9,2.3,104,"2024-11-14 20:00",,0.2,4.5,7,0,121.516306,25.017,70
竹山,南投縣,142,細懸浮微粒,對敏感族群不健康,2.3,0.53,29.3,45.4,123,76,15.4,15.6,0.1,0.6,331,"2024-11-14 20:00",,0.3,51.4,89,1,120.677306,23.756389,69
中壢,桃園市,139,細懸浮微粒,對敏感族群不健康,1.7,1.44,9.3,25.8,99,70,48.6,86,37.4,0.3,27,"2024-11-14 20:00",,1,50.2,74,1,121.221667,24.953278,68
三重,新北市,24,,良好,0.6,0.92,2.9,3.4,9,8,14.1,58.3,44.1,-,-,"2024-11-14 20:00",,0.8,7.3,14,0,121.493806,25.072611,67
冬山,宜蘭縣,18,,良好,0.9,0.08,8.7,11.8,10,3,3.8,5.8,2,2.2,113,"2024-11-14 20:00",,0.1,4.9,18,0,121.792928,24.632203,66
宜蘭,宜蘭縣,15,,良好,0.6,0.13,10.4,10.5,7,1,3.1,4.3,1.2,0.9,103,"2024-11-14 20:00",,0.1,4.7,13,0,121.746394,24.747917,65
陽明,臺北市,13,,良好,0.7,0.09,13.8,14.7,5,0,0.8,1.8,0.9,,,"2024-11-14 20:00",,0,0.9,8,0,121.529583,25.182722,64
花蓮,花蓮縣,27,,良好,0.8,0.19,7.6,11.9,36,8,4.1,5.5,1.4,1.3,267,"2024-11-14 20:00",,0.1,5.5,27,1,121.599769,23.971306,63
臺東,臺東縣,8,,良好,0.5,0.1,6.2,8.4,5,0,4.1,6.4,2.3,1.8,297,"2024-11-14 20:00",,0.1,1.2,8,0,121.15045,22.755358,62
恆春,屏東縣,12,,良好,0.5,0.09,11.9,13.7,1,1,0.8,1.7,0.9,6,29,"2024-11-14 20:00",,0,1.1,4,0,120.788928,21.958069,61
潮州,屏東縣,70,細懸浮微粒,普通,0.9,0.21,31.8,53.3,58,27,8.5,9,0.5,1.2,126,"2024-11-14 20:00",,0.1,23.4,46,1,120.561175,22.523108,60
屏東,屏東縣,67,細懸浮微粒,普通,1.4,0.52,,,68,35,18.7,19.5,0.8,0.7,116,"2024-11-14 20:00",,0.3,21.8,48,1,120.488033,22.673081,59
小港,高雄市,65,細懸浮微粒,普通,0.9,0.54,19.6,34.8,43,15,28.9,29.9,0.9,1.2,18,"2024-11-14 20:00",,0.3,21.3,54,1,120.337736,22.565833,58
前鎮,高雄市,68,細懸浮微粒,普通,1.4,0.55,26.1,41.9,42,22,22.3,24.5,2.1,1.8,8,"2024-11-14 20:00",,0.3,22.5,46,1,120.30833356,22.6044507,57
前金,高雄市,59,細懸浮微粒,普通,0.8,0.29,27.7,39.1,48,19,24.8,29.1,4.2,1.6,18,"2024-11-14 20:00",,0.2,18.7,53,0,120.28676111,22.63390278,56
左營,高雄市,52,細懸浮微粒,普通,1,0.36,30.4,40.9,42,16,16.4,17.3,0.9,1.2,313,"2024-11-14 20:00",,0.2,15.8,40,0,120.292917,22.674861,54
楠梓,高雄市,59,細懸浮微粒,普通,1.7,0.4,23.8,43.4,64,22,22,23.3,1.3,1,17,"2024-11-14 20:00",,0.2,18.7,53,1,120.328289,22.733667,53
林園,高雄市,68,細懸浮微粒,普通,1.2,0.29,28.1,46.0,61,22,22,22.4,0.3,1.7,50,"2024-11-14 20:00",,0.2,22.4,52,1,120.41175,22.4795,52
大寮,高雄市,77,細懸浮微粒,普通,1.8,0.51,10.4,40.6,37,18,32.7,35.4,2.7,0.3,106,"2024-11-14 20:00",,0.3,26.2,39,2,120.425311,22.56413611,51
鳳山,高雄市,74,細懸浮微粒,普通,1.2,0.67,23,40.6,51,21,21.5,23.3,1.8,0.7,91,"2024-11-14 20:00",,0.6,24.7,50,1,120.357422,22.628126,50
仁武,高雄市,66,細懸浮微粒,普通,1.6,0.46,13.7,40.1,57,27,31.9,32.5,0.5,1.4,334,"2024-11-14 20:00",,0.2,21.7,44,1,120.332631,22.689056,49
橋頭,高雄市,68,細懸浮微粒,普通,1,0.41,22.2,41.4,65,30,21.2,22.6,1.4,1.4,15,"2024-11-14 20:00",,0.2,22.6,51,0,120.305689,22.757506,48
美濃,高雄市,54,細懸浮微粒,普通,0.6,0.24,19.3,39.0,28,10,5.5,6.3,0.8,0.2,16,"2024-11-14 20:00",,0.2,16.9,36,0,120.530542,22.883583,47
臺南,臺南市,69,細懸浮微粒,普通,1.5,0.47,34.5,43.4,59,32,15.9,16.7,0.8,2,6,"2024-11-14 20:00",,0.2,22.9,49,0,120.21947897,22.98928311,46
安南,臺南市,67,細懸浮微粒,普通,0.9,0.33,35.5,44.6,56,31,10.4,11.5,1,1.8,319,"2024-11-14 20:00",,0.2,22.2,47,0,120.2175,23.048197,45
善化,臺南市,72,細懸浮微粒,普通,1.1,0.26,31.2,44.0,59,26,12,13,0.9,1.9,359,"2024-11-14 20:00",,0.1,24,52,1,120.29740529,23.11337642,44
新營,臺南市,90,細懸浮微粒,普通,0.9,0.28,34.2,43.5,64,32,10.6,12.4,1.7,1.2,10,"2024-11-14 20:00",,0.2,31.2,66,0,120.31725,23.305633,43
嘉義,嘉義市,127,細懸浮微粒,對敏感族群不健康,6.1,0.52,27.6,42.3,99,54,19.4,20.4,0.9,2.2,11,"2024-11-14 20:00",,0.3,45.4,84,2,120.44125148,23.46477865,42
臺西,雲林縣,51,細懸浮微粒,普通,1.1,0.19,31.9,40.2,41,15,6.3,7.5,1.1,1.4,32,"2024-11-14 20:00",,0.1,15.5,38,1,120.19933333,23.702175,41
朴子,嘉義縣,66,細懸浮微粒,普通,0.8,0.2,26.1,44.4,49,20,8.4,10,1.5,1.7,339,"2024-11-14 20:00",,0.1,21.6,48,1,120.2478,23.46538,40
新港,嘉義縣,86,細懸浮微粒,普通,1.7,0.18,22.5,44.4,48,23,9.7,10.9,1.2,2.1,315,"2024-11-14 20:00",,0.1,29.6,61,1,120.345531,23.554839,39
崙背,雲林縣,105,細懸浮微粒,對敏感族群不健康,0.8,0.22,20.1,36.9,60,29,8.2,8.5,0.2,0.6,304,"2024-11-14 20:00",,0.2,37.1,70,0,120.348742,23.757547,38
斗六,雲林縣,153,細懸浮微粒,對所有族群不健康,3.8,0.53,34.2,49.7,102,60,16.5,18.2,1.7,2,333,"2024-11-14 20:00",,0.4,58.7,90,1,120.544994,23.711853,37
南投,南投縣,121,細懸浮微粒,對敏感族群不健康,1.1,0.42,29.9,45.2,91,44,21.2,22.1,0.9,0.4,35,"2024-11-14 20:00",,0.3,43.3,76,1,120.685306,23.913,36
二林,彰化縣,79,細懸浮微粒,普通,0.9,0.19,21,42.7,48,13,6.6,7.7,1,1,321,"2024-11-14 20:00",,0.2,26.7,65,1,120.409653,23.925175,35
線西,彰化縣,61,細懸浮微粒,普通,1.1,0.23,23.8,40.4,46,11,9.1,9.8,0.6,1.8,347,"2024-11-14 20:00",,0.1,19.7,47,1,120.469061,24.131672,34
彰化,彰化縣,95,細懸浮微粒,普通,2.7,0.34,5.1,22.9,46,18,27.9,29.1,1.2,0.8,323,"2024-11-14 20:00",,0.3,33.2,61,1,120.541519,24.066,33
西屯,臺中市,117,細懸浮微粒,對敏感族群不健康,1.3,0.47,37.1,38.6,79,40,21.1,22.7,1.6,0.9,336,"2024-11-14 20:00",,0.3,41.5,77,1,120.616917,24.162197,32
忠明,臺中市,111,細懸浮微粒,對敏感族群不健康,1.4,0.58,40.3,41.9,63,40,17.6,19,1.4,1.2,265,"2024-11-14 20:00",,0.4,39.5,65,1,120.641092,24.151958,31
大里,臺中市,132,細懸浮微粒,對敏感族群不健康,2.4,0.56,21.6,40.5,71,47,27.1,29.4,2.3,1,232,"2024-11-14 20:00",,0.4,47.5,75,1,120.67844444,24.09961111,30
沙鹿,臺中市,97,細懸浮微粒,普通,0.7,0.38,20.7,41.8,48,28,16.5,17.7,1.1,1.2,346,"2024-11-14 20:00",,0.3,34.3,68,1,120.568794,24.225628,29
豐原,臺中市,129,細懸浮微粒,對敏感族群不健康,1.3,0.44,22,33.6,87,46,12.9,13.8,0.9,0.6,83,"2024-11-14 20:00",,0.4,46.4,86,1,120.74252414,24.25699731,28
三義,苗栗縣,115,細懸浮微粒,對敏感族群不健康,0.7,0.37,37.2,41.5,64,39,6.3,7.5,1.2,0.4,229,"2024-11-14 20:00",,0.3,40.9,71,0,120.75956754,24.38248443,27
苗栗,苗栗縣,117,細懸浮微粒,對敏感族群不健康,1.4,0.52,33.1,48.8,88,53,13.8,15,1.2,0.4,333,"2024-11-14 20:00",,0.3,41.8,67,1,120.82011468,24.56499183,26
頭份,苗栗縣,99,細懸浮微粒,普通,2.3,0.32,32.2,50.8,52,29,17.5,18.8,1.2,1.5,292,"2024-11-14 20:00",,0.3,35.1,60,1,120.89869286,24.69690679,25
新竹,新竹市,112,細懸浮微粒,對敏感族群不健康,1.5,0.56,35.2,52.8,61,41,21.4,21.8,0.3,1.2,306,"2024-11-14 20:00",,0.5,39.6,57,1,120.97236752,24.8056356,24
竹東,新竹縣,109,細懸浮微粒,對敏感族群不健康,0.5,0.46,33.5,52.6,64,46,13.6,14.8,1.1,1.2,264,"2024-11-14 20:00",,0.4,38.7,58,1,121.08895493,24.74091408,23
湖口,新竹縣,126,細懸浮微粒,對敏感族群不健康,0.6,0.35,41.9,56.8,58,48,9.1,9.4,0.3,0.4,304,"2024-11-14 20:00",,0.3,45.1,56,0,121.03886894,24.90009696,22
龍潭,桃園市,150,細懸浮微粒,對敏感族群不健康,1.9,0.87,13.4,49.0,109,74,39.5,41.9,2.4,0.9,306,"2024-11-14 20:00",,0.5,54.3,77,1,121.21645772,24.86400048,21
平鎮,桃園市,147,細懸浮微粒,對敏感族群不健康,1,0.74,23.8,50.0,111,75,31.9,33.3,1.4,1,287,"2024-11-14 20:00",,0.5,53.3,83,1,121.203986,24.952786,20
觀音,桃園市,112,細懸浮微粒,對敏感族群不健康,0.4,0.21,46.6,52.0,66,47,11.1,11.6,0.5,0.3,265,"2024-11-14 20:00",,0.2,39.9,64,1,121.08283092,25.03556747,19
大園,桃園市,99,細懸浮微粒,普通,4.2,0.46,29.5,44.7,59,36,26.6,27.8,1.2,2,288,"2024-11-14 20:00",,0.4,35.1,60,2,121.20251473,25.06100357,18
桃園,桃園市,102,細懸浮微粒,對敏感族群不健康,2.8,0.67,0.4,39.5,24,11,22.9,33.2,10.3,0.8,234,"2024-11-14 20:00",,0.5,36,61,2,121.30500531,24.9947107,17
大同,臺北市,31,,良好,,,2.3,,8,9,,,,-,-,"2024-11-14 20:00",,1.3,9.7,11,0,121.51342074,25.06331455,16
松山,臺北市,13,,良好,0.6,0.2,7.2,8.8,7,2,8,17.4,9.4,1.5,22,"2024-11-14 20:00",,0.1,2.6,10,0,121.578611,25.05,15
古亭,臺北市,10,,良好,0,0.11,12.6,11.7,3,3,2.2,3.5,1.2,3.6,122,"2024-11-14 20:00",,0.1,1.8,6,,121.529556,25.020608,14
萬華,臺北市,17,,良好,1.6,0.26,4,5.4,7,1,10.4,18.8,8.3,2.9,84,"2024-11-14 20:00",,0.2,1.1,10,1,121.507972,25.046503,13
中山,臺北市,17,,良好,,,,6.9,,,,,,2.7,80,"2024-11-14 20:00",,0.3,5.2,11,0,121.526528,25.062361,12
士林,臺北市,10,,良好,0.2,0.16,9.8,10.6,5,0,6.6,7.7,1,4.3,144,"2024-11-14 20:00",,0.1,2.9,10,0,121.51666356,25.10334003,11
淡水,新北市,24,,良好,1,0.09,12.9,24.0,11,0,3,3.7,0.7,,,"2024-11-14 20:00",,0.1,7.3,21,1,121.449239,25.1645,10
林口,新北市,12,,良好,0,0.17,8.5,7.7,6,2,7.2,9.3,2.1,3.8,90,"2024-11-14 20:00",,0.2,2.7,10,0,121.36548982,25.07798949,9
菜寮,新北市,18,,良好,0.6,0.29,7.4,9.3,5,4,9.8,13.6,3.7,3.1,106,"2024-11-14 20:00",,0.2,5.4,8,0,121.481028,25.06895,8
新莊,新北市,24,,良好,0.6,0.19,9.2,9.2,15,9,5.9,7.5,1.6,4.4,91,"2024-11-14 20:00",,0.2,7.4,19,0,121.4325,25.037972,7
板橋,新北市,20,,良好,0.4,0.39,4.5,7.7,5,4,12.2,20,7.8,1.8,7,"2024-11-14 20:00",,0.3,4.3,10,0,121.458667,25.012972,6
土城,新北市,18,,良好,0.3,0.15,11.8,11.0,10,2,5.5,6.8,1.3,2.6,119,"2024-11-14 20:00",,0.2,5.6,13,0,121.451861,24.982528,5
新店,新北市,25,,良好,0.7,0.13,10.7,12.2,7,6,3,4.3,1.3,5.7,149,"2024-11-14 20:00",,0.1,7.7,8,0,121.537778,24.977222,4
萬里,新北市,11,,良好,0.2,0.12,11.3,12.1,6,1,4.2,6,1.7,2.1,230,"2024-11-14 20:00",,0.1,3.4,9,0,121.689881,25.179667,3
汐止,新北市,17,,良好,0.3,0.2,7.4,8.0,4,3,8.5,11.8,3.3,0.9,31,"2024-11-14 20:00",,0.1,5.1,7,0,121.64081,25.06624,2
基隆,基隆市,11,,良好,0.6,0.11,10.8,12.6,4,1,2.5,3.9,1.4,1.4,68,"2024-11-14 20:00",,0.1,1.7,7,0,121.760056,25.129167,1
屏東(枋山),屏東縣,43,,良好,0.5,0.15,54.5,46.4,38,15,3,3,0,2.2,315,"2024-11-14 19:00",,0.1,12.6,32,0,120.651472,22.260899,313
宜蘭（頭城）,宜蘭縣,17,,良好,0.1,0.08,11.8,17.4,15,3,5,8.3,3.3,1,111,"2024-11-14 19:00",,0,3.5,17,0,121.82463916,24.85366672,312
新北(樹林),新北市,69,細懸浮微粒,普通,1.4,0.74,8.9,17.4,66,39,34.4,40.6,6.1,0,70,"2024-11-14 19:00",,0.4,22.8,42,0,121.38352778,24.94902778,311
屏東（琉球）,屏東縣,64,細懸浮微粒,普通,0.3,0.15,39.7,53.6,32,13,4.6,5.5,0.8,1,316,"2024-11-14 19:00",,0.2,20.7,37,0,120.37722,22.35222,204
臺南（麻豆）,臺南市,55,細懸浮微粒,普通,0.4,0.2,36,42.6,48,20,12.5,13.3,0.8,1.2,354,"2024-11-14 19:00",,0.1,17.3,44,0,120.24583056,23.17904722,203
高雄（湖內）,高雄市,52,細懸浮微粒,普通,1.1,0.32,34.3,41.5,43,14,10,10.5,0.5,0.4,253,"2024-11-14 19:00",,0.2,16.1,39,1,120.24535,22.87985556,202
彰化（員林）,彰化縣,124,細懸浮微粒,對敏感族群不健康,1.7,0.62,36.6,45.2,69,43,21.2,22.6,1.4,0.5,333,"2024-11-14 19:00",,0.5,44.2,71,1,120.56373,23.96117,201
大城,彰化縣,53,細懸浮微粒,普通,0.8,0.13,39.4,40.3,28,12,4.8,5.9,1.1,2.2,27,"2024-11-14 19:00",,0.1,16.5,34,0,120.26964167,23.85493056,85
富貴角,新北市,45,,良好,0.6,0.09,18.5,36.4,21,4,3.6,3.6,0,7.8,102,"2024-11-14 19:00",,0.1,14,28,0,121.53656894,25.29681695,84
麥寮,雲林縣,70,細懸浮微粒,普通,1.3,0.19,35.5,40.8,37,15,7.8,9.4,1.5,2.1,352,"2024-11-14 19:00",,0.1,23.4,42,1,120.251825,23.753506,83
關山,臺東縣,23,,良好,1.2,0.14,3,6.4,24,6,4.6,7.1,2.5,0.4,153,"2024-11-14 19:00",,0.1,3.7,23,1,121.161933,23.045083,80
馬公,澎湖縣,44,,良好,1.6,0.21,42.6,47.9,19,10,3.9,4.8,0.8,2.5,32,"2024-11-14 19:00",,0.2,9.6,27,1,119.566158,23.569031,78
金門,金門縣,45,,良好,1.7,0.31,28.5,49.3,30,13,11.4,11.9,0.5,1.5,95,"2024-11-14 19:00",,0.2,14,29,1,118.312256,24.432133,77
馬祖,連江縣,33,,良好,0.7,0.28,24.3,30.4,20,14,8,8.5,0.5,2.3,5,"2024-11-14 19:00",,0.2,10.3,16,0,119.952724,26.153736,75
埔里,南投縣,53,細懸浮微粒,普通,1.5,0.46,4.2,21.5,30,21,17.8,20.5,2.7,0.3,249,"2024-11-14 19:00",,0.2,16.2,22,1,120.967903,23.968842,72
復興,高雄市,69,細懸浮微粒,普通,0.4,0.67,25.9,41.8,40,16,22.9,24.7,1.8,0.7,130,"2024-11-14 19:00",,0.3,22.8,43,0,120.312017,22.608711,71
永和,新北市,15,,良好,,0.21,9.5,10.9,7,4,5.4,8,2.5,2.7,95,"2024-11-14 19:00",,0.2,4.7,8,0,121.516306,25.017,70
竹山,南投縣,127,細懸浮微粒,對敏感族群不健康,2.5,0.53,30.8,45.7,120,67,19.5,19.6,0,1.1,202,"2024-11-14 19:00",,0.3,45.4,80,1,120.677306,23.756389,69
中壢,桃園市,124,細懸浮微粒,對敏感族群不健康,2.1,1.29,22.5,28.5,90,66,41.9,55.1,13.2,0.2,321,"2024-11-14 19:00",,0.9,44.3,66,1,121.221667,24.953278,68
三重,新北市,27,,良好,0.7,0.99,1.1,3.7,13,10,16.4,66,49.6,-,-,"2024-11-14 19:00",,0.7,7.4,15,0,121.493806,25.072611,67
冬山,宜蘭縣,19,,良好,2.1,0.11,8.9,12.3,13,6,4.3,6.2,1.9,4.7,122,"2024-11-14 19:00",,0.1,5.2,19,0,121.792928,24.632203,66
宜蘭,宜蘭縣,17,,良好,0.6,0.24,7.3,11.0,14,4,8.8,12,3.1,2.9,119,"2024-11-14 19:00",,0.1,5.1,14,0,121.746394,24.747917,65
陽明,臺北市,13,,良好,0.6,0.09,13.6,14.9,9,3,0.8,1.5,0.7,4.9,160,"2024-11-14 19:00",,0,1.1,7,0,121.529583,25.182722,64
花蓮,花蓮縣,24,,良好,0.7,0.17,10.5,12.1,24,7,3.9,5.3,1.3,1.5,134,"2024-11-14 19:00",,0.1,4.2,24,1,121.599769,23.971306,63
臺東,臺東縣,9,,良好,0.5,0.12,8.5,8.8,8,2,4.1,6.3,2.1,0.7,304,"2024-11-14 19:00",,0.1,1.6,9,0,121.15045,22.755358,62
恆春,屏東縣,13,,良好,0.6,0.09,12.2,14.1,5,1,0.8,1.7,0.9,6.6,37,"2024-11-14 19:00",,0,1.2,5,0,120.788928,21.958069,61
潮州,屏東縣,68,細懸浮微粒,普通,1.1,0.23,39.5,54.2,56,25,7.2,8,0.7,0.9,100,"2024-11-14 19:00",,0.1,22.4,43,1,120.561175,22.523108,60
屏東,屏東縣,58,細懸浮微粒,普通,1.4,0.43,,46.2,58,23,23.8,24.9,1,0.6,135,"2024-11-14 19:00",,0.2,18.5,40,1,120.488033,22.673081,59
小港,高雄市,69,細懸浮微粒,普通,2.1,0.32,7.6,36.8,59,18,47.2,53.1,5.8,1.2,310,"2024-11-14 19:00",,0.2,22.8,55,1,120.337736,22.565833,58
前鎮,高雄市,68,細懸浮微粒,普通,1.9,0.45,24,44.0,47,20,25,27.2,2.1,1.6,22,"2024-11-14 19:00",,0.2,22.6,46,1,120.30833356,22.6044507,57
前金,高雄市,58,細懸浮微粒,普通,0.8,0.27,28.9,42.1,46,15,21.8,28.3,6.5,1.7,16,"2024-11-14 19:00",,0.2,18.5,54,0,120.28676111,22.63390278,56
左營,高雄市,52,細懸浮微粒,普通,0.9,0.23,33.9,42.8,37,12,14.4,15.1,0.7,1.3,338,"2024-11-14 19:00",,0.2,16,40,0,120.292917,22.674861,54
楠梓,高雄市,59,細懸浮微粒,普通,1.2,0.41,30.6,45.7,51,14,15.8,17.2,1.3,0.9,29,"2024-11-14 19:00",,0.2,18.6,52,1,120.328289,22.733667,53
